MP-BioPath vs Experimental,,,,,Experimental,,
,,Down,Normal,Up,Total,PPV,F1
,Down,291,20,21,332,0.8765060240963856,0.8326180257510729
MP-BioPath,Normal,53,39,63,155,0.25161290322580643,0.32499999999999996
predicted_class,Up,23,26,313,362,0.8646408839779005,0.8247694334650857
,Total,367,85,397,849,,
,TPR,0.7929155313351499,0.4588235294117647,0.7884130982367759,,0.7573616018845701,0.6607958197387195
Cohen's Kappa,0.6360424028268552,,,,,,
Predicted Down,,Positive,Negative,ACC,,,
,Positive,291,41,0.8621908127208481,,,
,Negative,76,441,,,,
,,,,,,,
Predicted Normal,,Positive,Negative,ACC,,,
,Positive,39,116,0.8091872791519434,,,
,Negative,46,648,,,,
,,,,,,,
Predicted Up,,Positive,Negative,ACC,,,
,Positive,313,49,0.8433451118963486,,,
,Negative,84,403,,,,
,,,,,,,
,TP,TN,FP,FN,Total,ACC,
Up,313,403,49,84,849,0.8433451118963486,
Normal,39,648,116,46,849,0.8091872791519434,
Down,291,441,41,76,849,0.8621908127208481,
