Lowerbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
0.92	4200	591	5161	14484	9361	15075	24436	0.44866999983787537	0.9607959985733032	0.876643717288971	0.7372868657112122	0.5513299703598022	0.03920400142669678	0.12335628271102905	0.26271313428878784	0.7646095752716064	0.5935556888580322
0.93	4162	629	5252	14394	9414	15023	24437	0.44210749864578247	0.9581308364868164	0.8687121868133545	0.7326682209968567	0.5578925013542175	0.041869163513183594	0.1312878131866455	0.2673317790031433	0.7593403458595276	0.585990846157074
0.94	4137	653	5313	14332	9450	14985	24435	0.4377777874469757	0.9564231038093567	0.8636743426322937	0.7295495271682739	0.5622222423553467	0.04357689619064331	0.1363256573677063	0.2704504728317261	0.7558420300483704	0.581039309501648
0.83	4234	557	5611	14034	9845	14591	24436	0.4300660192966461	0.9618257880210876	0.8837403655052185	0.7143802642822266	0.5699340105056763	0.038174211978912354	0.1162596344947815	0.28561973571777344	0.7475855350494385	0.5785733461380005
0.84	4222	568	5587	14058	9809	14626	24435	0.43042105436325073	0.9611650705337524	0.8814195990562439	0.715601921081543	0.5695789456367493	0.03883492946624756	0.1185804009437561	0.28439807891845703	0.7481071949005127	0.5783957839012146
0.85	4222	568	5587	14058	9809	14626	24435	0.43042105436325073	0.9611650705337524	0.8814195990562439	0.715601921081543	0.5695789456367493	0.03883492946624756	0.1185804009437561	0.28439807891845703	0.7481071949005127	0.5783957839012146
0.91	4189	601	5512	14133	9701	14734	24435	0.4318111538887024	0.9592099785804749	0.8745302557945251	0.7194197177886963	0.5681888461112976	0.040790021419525146	0.12546974420547485	0.2805802822113037	0.7498260736465454	0.5781520009040833
0.86	4209	581	5617	14028	9826	14609	24435	0.42835333943367004	0.9602299928665161	0.878705620765686	0.7140748500823975	0.5716466903686523	0.03977000713348389	0.12129437923431396	0.28592514991760254	0.7463474273681641	0.575944185256958
0.87	4196	594	5648	13998	9844	14592	24436	0.42624950408935547	0.9592927694320679	0.8759916424751282	0.7125114798545837	0.5737504959106445	0.04070723056793213	0.12400835752487183	0.28748852014541626	0.7445572018623352	0.5734590888023376
0.88	4196	594	5648	13998	9844	14592	24436	0.42624950408935547	0.9592927694320679	0.8759916424751282	0.7125114798545837	0.5737504959106445	0.04070723056793213	0.12400835752487183	0.28748852014541626	0.7445572018623352	0.5734590888023376
0.89	4183	607	5678	13967	9861	14574	24435	0.4241963326931	0.9583504796028137	0.8732776641845703	0.7109696865081787	0.5758036375045776	0.04164952039718628	0.1267223358154297	0.2890303134918213	0.7427870035171509	0.5710189938545227
0.9	4183	607	5678	13967	9861	14574	24435	0.4241963326931	0.9583504796028137	0.8732776641845703	0.7109696865081787	0.5758036375045776	0.04164952039718628	0.1267223358154297	0.2890303134918213	0.7427870035171509	0.5710189938545227
0.96	4011	780	5555	14091	9566	14871	24437	0.4192975163459778	0.9475489258766174	0.8371947407722473	0.7172452211380005	0.5807024836540222	0.05245107412338257	0.16280525922775269	0.2827547788619995	0.740761935710907	0.5587518811225891
0.95	4030	760	5612	14033	9642	14793	24435	0.41796308755874634	0.9486243724822998	0.8413361310958862	0.7143293619155884	0.5820369124412537	0.051375627517700195	0.15866386890411377	0.2856706380844116	0.7392265200614929	0.5584810972213745
0.82	4216	575	6116	13529	10332	14104	24436	0.4080526530742645	0.959231436252594	0.8799833059310913	0.6886739730834961	0.5919473171234131	0.040768563747406006	0.12001669406890869	0.3113260269165039	0.7261826992034912	0.5575612783432007
0.79	4226	565	6180	13466	10406	14031	24437	0.40611186623573303	0.9597319960594177	0.8820705413818359	0.6854321360588074	0.5938881635665894	0.040268003940582275	0.11792945861816406	0.3145678639411926	0.7239841222763062	0.556162416934967
0.8	4226	565	6180	13466	10406	14031	24437	0.40611186623573303	0.9597319960594177	0.8820705413818359	0.6854321360588074	0.5938881635665894	0.040268003940582275	0.11792945861816406	0.3145678639411926	0.7239841222763062	0.556162416934967
0.77	4224	566	6227	13419	10451	13985	24436	0.4041718542575836	0.9595280885696411	0.8818371891975403	0.6830397844314575	0.5958281755447388	0.04047191143035889	0.11816281080245972	0.3169602155685425	0.7220085263252258	0.5542943477630615
0.78	4224	566	6227	13419	10451	13985	24436	0.4041718542575836	0.9595280885696411	0.8818371891975403	0.6830397844314575	0.5958281755447388	0.04047191143035889	0.11816281080245972	0.3169602155685425	0.7220085263252258	0.5542943477630615
0.81	4212	579	6211	13435	10423	14014	24437	0.4041062891483307	0.9586841464042664	0.8791484236717224	0.6838542222976685	0.5958937406539917	0.04131585359573364	0.12085157632827759	0.31614577770233154	0.7221426367759705	0.5537005066871643
0.99	3925	865	5477	14169	9402	15034	24436	0.41746437549591064	0.942463755607605	0.8194154500961304	0.7212154865264893	0.5825356245040894	0.05753624439239502	0.18058454990386963	0.27878451347351074	0.7404648661613464	0.5531285405158997
0.76	4222	568	6273	13373	10495	13941	24436	0.4022867977619171	0.9592568874359131	0.8814195990562439	0.6806983351707458	0.5977132320404053	0.040743112564086914	0.1185804009437561	0.31930166482925415	0.7200441956520081	0.5524370074272156
0.98	3951	840	5575	14071	9526	14911	24437	0.4147596061229706	0.9436657428741455	0.8246712684631348	0.7162272334098816	0.585240364074707	0.05633425712585449	0.17532873153686523	0.2837727665901184	0.7374882102012634	0.5519312620162964
0.97	3977	813	5664	13982	9641	14795	24436	0.41250908374786377	0.945048987865448	0.8302714228630066	0.7116970419883728	0.5874909162521362	0.054951012134552	0.1697285771369934	0.2883029580116272	0.734940230846405	0.5511746406555176
1	3789	1001	5252	14394	9041	15395	24436	0.41909080743789673	0.9349789023399353	0.7910229563713074	0.7326682209968567	0.5809091925621033	0.0650210976600647	0.20897704362869263	0.2673317790031433	0.7441070675849915	0.5478996634483337
0.73	4229	562	6421	13224	10650	13786	24436	0.3970892131328583	0.9592339992523193	0.8826967477798462	0.6731483936309814	0.6029107570648193	0.040766000747680664	0.11730325222015381	0.32685160636901855	0.7142331004142761	0.5477624535560608
0.74	4229	562	6421	13224	10650	13786	24436	0.3970892131328583	0.9592339992523193	0.8826967477798462	0.6731483936309814	0.6029107570648193	0.040766000747680664	0.11730325222015381	0.32685160636901855	0.7142331004142761	0.5477624535560608
