Upperbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
1.03	4140	647	6379	13268	10519	13915	24434	0.393573522567749	0.953503429889679	0.8648422956466675	0.6753193736076355	0.606426477432251	0.046496570110321045	0.13515770435333252	0.3246806263923645	0.712449848651886	0.5409643054008484
1.04	4148	639	6461	13187	10609	13826	24435	0.3909887969493866	0.9537827372550964	0.8665134906768799	0.671162486076355	0.609011173248291	0.046217262744903564	0.13348650932312012	0.328837513923645	0.7094331979751587	0.5388412475585938
1.02	4110	678	6382	13265	10492	13943	24435	0.3917270302772522	0.9513734579086304	0.8583959937095642	0.675166666507721	0.6082729697227478	0.04862654209136963	0.1416040062904358	0.32483333349227905	0.71107017993927	0.5379581451416016
1.01	4082	705	6316	13332	10398	14037	24435	0.3925755023956299	0.9497755765914917	0.85272616147995	0.6785423159599304	0.6074244976043701	0.0502244234085083	0.14727383852005005	0.3214576840400696	0.7126662731170654	0.5376358032226562
1.09	4255	532	6890	12758	11145	13290	24435	0.3817855417728424	0.9599698781967163	0.8888656497001648	0.6493281722068787	0.61821448802948	0.04003012180328369	0.1111343502998352	0.35067182779312134	0.6962553858757019	0.5341451168060303
1.05	4163	625	6670	12977	10833	13602	24435	0.3842887580394745	0.9540508985519409	0.8694653511047363	0.6605079770088196	0.6157112121582031	0.04594910144805908	0.13053464889526367	0.3394920229911804	0.7014528512954712	0.5330004692077637
1.1	4253	534	6938	12709	11191	13243	24434	0.3800375163555145	0.9596768021583557	0.8884478807449341	0.6468672156333923	0.6199624538421631	0.04032319784164429	0.11155211925506592	0.35313278436660767	0.6941965818405151	0.5323569774627686
1.11	4253	534	6938	12709	11191	13243	24434	0.3800375163555145	0.9596768021583557	0.8884478807449341	0.6468672156333923	0.6199624538421631	0.04032319784164429	0.11155211925506592	0.35313278436660767	0.6941965818405151	0.5323569774627686
1.12	4253	534	6938	12709	11191	13243	24434	0.3800375163555145	0.9596768021583557	0.8884478807449341	0.6468672156333923	0.6199624538421631	0.04032319784164429	0.11155211925506592	0.35313278436660767	0.6941965818405151	0.5323569774627686
1.13	4260	528	7088	12559	11348	13087	24435	0.3753965497016907	0.9596546292304993	0.8897243142127991	0.6392324566841125	0.6246034502983093	0.04034537076950073	0.11027568578720093	0.36076754331588745	0.6883159279823303	0.5280118584632874
1.14	4258	529	7134	12513	11392	13042	24434	0.373771071434021	0.9594387412071228	0.889492392539978	0.6368911266326904	0.626228928565979	0.0405612587928772	0.11050760746002197	0.36310887336730957	0.686379611492157	0.526361346244812
1.06	4166	622	6903	12744	11069	13366	24435	0.37636643648147583	0.9534640312194824	0.8700919151306152	0.6486486196517944	0.6236335635185242	0.04653596878051758	0.12990808486938477	0.35135138034820557	0.6920400857925415	0.5254462361335754
1.15	4256	531	7179	12468	11435	12999	24434	0.3721906542778015	0.9591507315635681	0.8890745639801025	0.6346006989479065	0.6278093457221985	0.040849268436431885	0.11092543601989746	0.3653993010520935	0.6844561100006104	0.5247194766998291
1.16	4255	533	7224	12423	11479	12956	24435	0.3706768751144409	0.9588607549667358	0.8886800408363342	0.6323102712631226	0.6293231248855591	0.04113924503326416	0.11131995916366577	0.36768972873687744	0.68254554271698	0.5231449604034424
1.07	4162	626	7008	12640	11170	13266	24436	0.37260520458221436	0.9528117179870605	0.8692564964294434	0.6433224678039551	0.6273947954177856	0.04718828201293945	0.13074350357055664	0.3566775321960449	0.687592089176178	0.5216192603111267
1.17	4248	540	7398	12249	11646	12789	24435	0.3647604286670685	0.9577761888504028	0.8872180581092834	0.6234539747238159	0.6352396011352539	0.04222381114959717	0.11278194189071655	0.3765460252761841	0.6751381158828735	0.5169770121574402
1.08	4167	620	7168	12480	11335	13100	24435	0.36762240529060364	0.9526717662811279	0.8704825639724731	0.6351791620254517	0.6323776245117188	0.04732823371887207	0.12951743602752686	0.36482083797454834	0.6812768578529358	0.5169333815574646
1.22	4251	536	7608	12040	11859	12576	24435	0.3584619164466858	0.957379162311554	0.8880300521850586	0.6127850413322449	0.6415380835533142	0.042620837688446045	0.1119699478149414	0.3872149586677551	0.6667075753211975	0.510753333568573
1.23	4251	536	7608	12040	11859	12576	24435	0.3584619164466858	0.957379162311554	0.8880300521850586	0.6127850413322449	0.6415380835533142	0.042620837688446045	0.1119699478149414	0.3872149586677551	0.6667075753211975	0.510753333568573
1.18	4239	549	7605	12042	11844	12591	24435	0.35790273547172546	0.9563974142074585	0.8853383660316467	0.6129180192947388	0.6420972347259521	0.043602585792541504	0.11466163396835327	0.38708198070526123	0.6662983298301697	0.5097402930259705
1.19	4239	549	7605	12042	11844	12591	24435	0.35790273547172546	0.9563974142074585	0.8853383660316467	0.6129180192947388	0.6420972347259521	0.043602585792541504	0.11466163396835327	0.38708198070526123	0.6662983298301697	0.5097402930259705
