MP-BioPath Weighted vs Experimental,,,,,Experimental,,
,,Down,Normal,Up,Total,PPV,F1
,Down,4200,288,303,4791,0.876643717288971,0.5843478441238403
MP-BioPath Weighted,Normal,5080,3738,6039,14857,0.2515985667705536,0.3888484239578247
predicted_class,Up,304,343,4140,4787,0.8648422956466675,0.5422751903533936
,Total,9584,4369,10482,24435,,
,TPR,0.43823039531707764,0.8555733561515808,0.39496278762817383,,0.4942909777164459,0.5051571726799011
Cohen's Kappa,0.24143646657466888,,,,,,
Predicted Down,,Positive,Negative,ACC,,,
,Positive,4200,591,0.7554737329483032,,,
,Negative,5384,14260,,,,
,,,,,,,
Predicted Normal,,Positive,Negative,ACC,,,
,Positive,3738,11119,0.5191323757171631,,,
,Negative,631,8947,,,,
,,,,,,,
Predicted Up,,Positive,Negative,ACC,,,
,Positive,4140,647,0.7139758467674255,,,
,Negative,6342,13306,,,,
,,,,,,,
,TP,TN,FP,FN,Total,ACC,
Up,4140,13306,647,6342,24435,0.7139758467674255,
Normal,3738,8947,11119,631,24435,0.5191323757171631,
Down,4200,14260,591,5384,24435,0.7554737329483032,
