label	expected_state	actual_state	count_with_path_mp_biopath	count_no_path_mp_biopath	mean_distance_mp_biopath	standard_deviation_distance_mp_biopath	min_distance_mp_biopath	lower_quartile_mp_biopath	upper_quartile_mp_biopath	max_distance_mp_biopath	count_with_path_reactome_curator	count_no_path_reactome_curator	mean_distance_reactome_curator	standard_deviaiton_distance_reactome_curator	min_distance_reactome_curator	lower_quartile_reactome_curator	upper_quartile_reactome_curator	max_distance_reactome_curator
0-0	0	0	286	5	11.055944055944057	4.85693748541302	1	7.7799397220329745	14.331948389855139	33	297	10	11.30976430976431	5.001182861266924	1	7.93646646983977	14.68306214968885	33
1-0	1	0	12	41	14.416666666666666	6.894771844512246	9	9.766143057543156	19.067190275790175	31	10	39	11.0	4.9216076867444665	5	7.680375615290858	14.319624384709142	22
2-0	2	0	20	3	12.8	5.187028355223705	2	9.301349374401612	16.29865062559839	19	11	0	11.090909090909092	5.593827767361907	2	7.317872261823486	14.863945919994698	18
0-1	0	1	17	3	11.117647058823529	6.2936709572114635	4	6.872565998184397	15.36272811946266	33	7	0	14.428571428571429	8.263517065131182	10	8.854829168140446	20.002313689002413	33
1-1	1	1	8	31	8.25	0.7071067811865476	8	7.773056476089674	8.726943523910327	10	12	38	9.166666666666666	3.537676004830221	2	6.780504201408682	11.55282913192465	12
2-1	2	1	22	4	10.409090909090908	6.123017392702882	2	6.279115677712815	14.539066140469002	33	28	0	9.75	5.372253820428733	2	6.12641479812082	13.37358520187918	33
0-2	0	2	21	0	14.333333333333334	7.558659493146476	6	9.235017505206036	19.431649161460633	30	16	0	15.3125	7.189981455701631	7	10.46285750812925	20.16214249187075	30
1-2	1	2	20	43	12.25	2.4468024246479643	9	10.599631764574948	13.900368235425052	18	3	39	10.0	1.7320508075688772	9	8.831731730294793	11.168268269705207	12
2-2	2	2	306	7	11.663398692810457	6.0707117538143684	1	7.568703614862666	15.758093770758247	46	328	11	11.707317073170731	5.9688033108301815	1	7.681359240015774	15.73327490632569	46
0-NA	0	NA	825	115	12.74909090909091	7.607088369978836	2	7.618109803540185	17.880072014641634	44	943	71	13.023329798515377	7.407998112474757	2	8.026635071651153	18.0200245253796	46
1-NA	1	NA	374	1746	13.393048128342246	6.760796533876491	5	8.832890866242554	17.953205390441937	46	198	1942	14.742424242424242	10.011126712443875	2	7.989919274880848	21.494929209967637	46
2-NA	2	NA	835	224	13.598802395209582	8.025782704039791	2	8.185411961334744	19.01219282908442	46	893	72	13.081746920492721	7.244530368714953	2	8.195311186794484	17.968182654190958	44
Not NA			712	137	11.502808988764045	5.584285060521393	1	7.736208715442365	15.269409262085723	46	712	137	11.502808988764045	5.584285060521393	1	7.736208715442365	15.269409262085723	46
NA			2034	2085	13.216322517207473	7.643264191588849	2	8.060940819980795	18.371704214434153	46	2034	2085	13.216322517207473	7.643264191588849	2	8.060940819980795	18.371704214434153	46
Correct			600	43	11.328333333333333	5.496746394346553	1	7.6207778903465835	15.035888776320082	46	637	59	11.474097331240188	5.5059748287120875	1	7.760317309273885	15.18787735320649	46
Incorrect			112	94	12.4375	5.971073288464664	2	8.410011066930583	16.464988933069417	33	75	78	11.746666666666666	6.245199958569983	2	7.5342792946112125	15.959054038722119	33
