pathway_id	input_name	input_id	keyoutput_id	distance
68875	CCNB1	68901	2245227	3
68875	CCNB1	68901	2294602	9
68875	CCNB1	157451	2311342	4
68875	CCNB1	157451	2314561	6
68875	CCNB1	157451	2314571	10
68875	CCNB1	68901	2430554	7
68875	CCNB1	157451	2990888	6
68875	CCNB1	157451	2990901	6
68875	CCNB1	157451	2990905	6
68875	CCNB1	68901	5244666	3
68875	CCNB1	68901	8982281	3
68875	H3F3A	1214206	2245227	8
68875	H3F3A	1214206	2294602	18
68875	LMNA	264866	5244666	10
68875	MAPK1	109853	2314571	6
68875	NUMA1	380443	8982281	3
68875	NUP214	157691	2990888	5
68875	NUP214	157691	2990901	5
68875	NUP214	157691	2990905	5
68875	PLK1	3002800	2294602	6
68875	PLK1	3000318	2314571	6
68875	PLK1	3000318	2990888	8
68875	PLK1	3000318	2990901	8
68875	PLK1	3000318	2990905	8
68875	PPP2R1A	165968	2430554	2
68875	RANBP2	157703	2990888	5
68875	RANBP2	157703	2990901	5
68875	RANBP2	157703	2990905	5
68875	RB1	68642	2294602	10
68875	SET	451201	2294602	10
68875	TPR	157692	2990888	5
68875	TPR	157692	2990901	5
68875	TPR	157692	2990905	5
69242	CCNE1	68363	187568	10
69242	CCNE1	68363	5661317	5
69242	CDKN1B	198622	157563	7
69242	CDKN1B	198622	187568	10
69242	CDKN1B	198622	187920	7
69242	CDKN1B	198622	5661317	8
69242	MAX	3006627	157563	11
69242	MAX	3006627	187568	17
69242	MAX	3006627	187920	11
69242	MAX	3006627	5661317	12
69242	MYC	188379	157563	11
69242	MYC	188379	187568	17
69242	MYC	188379	187920	11
69242	MYC	188379	5661317	12
69242	POLE	68473	68470	27
69242	POLE	68473	69172	30
69242	PTK6	8848007	157563	4
69242	PTK6	8848007	187568	10
69242	PTK6	8848007	187920	4
69242	PTK6	8848007	5661317	5
69242	RAD21	163042	1638799	7
69242	RAD21	163042	1638802	7
69242	RB1	69226	187920	3
69242	STAG2	163046	1638799	7
69242	STAG2	163046	1638802	7
69620	ATM	5693527	68376	13
69620	ATM	5693527	69589	7
69620	ATM	5693527	113838	2
69620	ATM	5693527	143488	4
69620	ATM	5693527	156491	4
69620	ATM	5693527	156496	4
69620	ATM	5693527	182585	10
69620	ATM	5693527	187926	13
69620	ATM	5693527	3209186	6
69620	ATM	5693527	3222171	4
69620	ATM	5693527	5683784	15
69620	ATM	5693527	6804937	6
69620	ATM	5693527	6804954	2
69620	ATR	912443	68376	14
69620	ATR	912443	69589	8
69620	ATR	912443	113838	3
69620	ATR	912443	143488	5
69620	ATR	912443	156491	5
69620	ATR	912443	156496	5
69620	ATR	912443	182585	11
69620	ATR	912443	187926	14
69620	ATR	912443	3222171	5
69620	CDKN1B	182563	68376	3
69620	CDKN1B	182563	187926	3
69620	CHEK2	113824	68376	19
69620	CHEK2	113824	69589	13
69620	CHEK2	113824	143488	10
69620	CHEK2	113824	156496	10
69620	CHEK2	113824	182585	16
69620	CHEK2	113824	187926	19
69620	CHEK2	113824	3222171	10
69620	CHEK2	113824	5683784	8
69620	CHEK2	113824	6804937	12
69620	MDM2	6793669	3209186	6
69620	MDM2	6793669	6804937	7
69620	MDM2	6793669	6804954	2
69620	TP53	69507	68376	15
69620	TP53	69507	182585	12
69620	TP53	69507	187926	15
69620	TP53	69488	3209186	5
69620	TP53	69507	3222171	6
69620	WEE1	69253	156491	2
69620	WEE1	69253	170065	2
195721	AMER1	5251497	2130284	24
195721	AMER1	5251497	3322393	12
195721	AMER1	5251497	3322396	12
195721	AMER1	5251497	3361369	14
195721	AMER1	5251497	3364034	16
195721	AMER1	5251497	3451129	12
195721	AMER1	5251497	3451134	14
195721	AMER1	5251497	3451168	8
195721	AMER1	5251497	3769387	18
195721	AMER1	5251497	3772415	10
195721	AMER1	5251497	4411358	10
195721	AMER1	5251497	4411380	11
195721	AMER1	5251497	4411387	11
195721	AMER1	5251497	4411391	11
195721	AMER1	5251497	5626915	10
195721	AMER1	5251497	5665607	12
195721	APC	2976015	2130284	24
195721	APC	2976015	3322393	12
195721	APC	2976015	3322396	12
195721	APC	2976015	3361369	14
195721	APC	2976015	3364034	16
195721	APC	2976015	3451129	12
195721	APC	2976015	3451134	14
195721	APC	2976015	3451168	8
195721	APC	2976015	3769387	18
195721	APC	2976015	3772415	10
195721	APC	2976015	4411358	10
195721	APC	2976015	4411380	11
195721	APC	2976015	4411387	11
195721	APC	2976015	4411391	11
195721	APC	2976015	5626915	10
195721	APC	2976015	5665607	12
