pathway_id	pathway_name	nodes	edges	senarios	key_outputs	mp_biopath_vs_experimental_correct	mp_biopath_vs_experimental_incorrect	mp_biopath_vs_experimental_acc	reactome_curator_vs_experimental_correct	reactome_curator_vs_experimental_incorrect	reactome_curator_vs_experimental_acc	mp_biopath_vs_reactome_correct	mp_biopath_vs_reactome_incorrect	mp_biopath_vs_reactome_acc
909733	Interferon_alpha/beta_signaling	148	156	17	28							472	4	0.9915966386554622
195721	Signaling_by_WNT	816	953	15	37	36	15	0.7058823529411765	49	2	0.9607843137254902	431	124	0.7765765765765765
8878171	Transcriptional_regulation_by_RUNX1	569	729	59	42							2096	382	0.8458434221146085
3247509	Chromatin_modifying_enzymes	710	887	25	9							207	18	0.92
8878166	Transcriptional_regulation_by_RUNX2	394	461	41	22							430	472	0.47671840354767187
201451	Signaling_by_BMP	78	83	29	4							64	52	0.5517241379310345
5693571	Nonhomologous_End-Joining_(NHEJ)	107	107	33	1							33	0	1
373753	Nephrin_family_interactions	57	56	7	7							49	0	1
8864260	Transcriptional_regulation_by_the_AP-2_(TFAP2)_family_of_transcription_factors	144	176	29	18							465	57	0.8908045977011494
69242	S_Phase	411	440	23	9	16	9	0.64	23	2	0.92	150	57	0.7246376811594203
388841	Costimulation_by_the_CD28_family	204	213	25	8							188	12	0.94
8854691	Interleukin-20_family_signaling	142	163	17	5							82	3	0.9647058823529412
983169	Class_I_MHC_mediated_antigen_processing_&_presentation	804	851	31	4							67	57	0.5403225806451613
1227986	Signaling_by_ERBB2	212	246	21	9	41	8	0.8367346938775511	41	8	0.8367346938775511	187	2	0.9894179894179894
375165	NCAM_signaling_for_neurite_out-growth	264	265	11	10							107	3	0.9727272727272728
1257604	PIP3_activates_AKT_signaling	784	1053	33	14	177	23	0.885	186	14	0.93	434	28	0.9393939393939394
5627117	RHO_GTPases_Activate_ROCKs	37	37	23	4							92	0	1
1980145	Signaling_by_NOTCH2	104	122	23	5							100	15	0.8695652173913043
194840	Rho_GTPase_cycle	159	162	29	2							30	28	0.5172413793103449
73942	DNA_Damage_Reversal	54	91	9	8							72	0	1
8848021	Signaling_by_PTK6	209	226	15	15							219	6	0.9733333333333334
1266695	Interleukin-7_signaling	109	111	9	6							52	2	0.9629629629629629
