key_ouput	ATM_0	ATM_2	ATR_0	ATR_2	CDKN1B_0	CDKN1B_2	CHEK2_0	CHEK2_2	MDM2_0	MDM2_2	TP53_0	TP53_2	WEE1_0	WEE1_2
113838	-999	-999	0	2	-999	0	-999	-999	0	2	1	-999	-999	-999
69589	-999	-999	-999	-999	-999	-999	2	0	-999	-999	-999	-999	-999	-999
143488	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999
156491	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
170065	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	1	-999	0	2
187926	-999	-999	-999	-999	0	2	-999	-999	-999	-999	0	-999	-999	-999
68376	0	-999	-999	-999	0	2	-999	-999	-999	-999	0	2	-999	-999
6804937	0	-999	-999	-999	-999	-999	0	2	0	2	-999	-999	-999	-999
156496	0	2	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999
3209186	2	0	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999
3222171	0	2	-999	-999	-999	-999	0	2	-999	1	-999	-999	-999	-999
6804954	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
182585	0	2	0	-999	-999	-999	0	2	2	0	0	2	-999	-999
5683784	0	2	1	2	-999	-999	0	-999	-999	-999	-999	-999	-999	-999
