key_ouput	ATM_0	ATM_2	ATR_0	ATR_2	BLM_0	BLM_2	BRCA1_0	BRCA1_2	BRCA2_0	BRCA2_2	BRIP1_0	BRIP1_2	CHEK1_0	CHEK1_2	ERCC1_0	ERCC1_2	ERCC4_0	ERCC4_2	MRE11_0	MRE11_2	MUS81_0	MUS81_2	NBN_0	NBN_2	PALB2_0	PALB2_2	RAD50_0	RAD50_2	RAD51_0	RAD51_2	RAD52_0	RAD52_2	RTEL1_0	RTEL1_2	TIMELESS_0	TIMELESS_2
113838	-999	-999	0	2	-999	-999	0	2	-999	-999	0	2	0	-999	-999	-999	-999	-999	1	1	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2
5685162	-999	-999	0	2	-999	-999	-999	2	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5685317	-999	-999	0	-999	-999	-999	0	2	0	2	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999
5685343	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5685826	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5686410	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5686469	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999
5686483	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	0	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999
5693589	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999
5686663	-999	-999	-999	-999	2	-999	0	-999	1	-999	-999	-999	1	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	0	-999	-999	2	-999	0	2	-999	-999	-999	-999
