key_ouput	ABL1_0	ABL1_2	AKT1_0	AKT1_2	CCND1_0	CCND1_2	CCNE1_0	CCNE1_2	CDK4_0	CDK4_2	CDKN1B_0	CDKN1B_2	CDKN2A_0	CDKN2A_2	JAK2_0	JAK2_2	MAX_0	MAX_2	MYC_0	MYC_2	POLE_0	POLE_2	PPP2R1A_0	PPP2R1A_2	PTK6_0	PTK6_2	RB1_0	RB1_2	RBL1_0	RBL1_2	RBL2_0	RBL2_2	SRC_0	SRC_2
68439	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	2	0	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	2	-999	1	-999	1	-999	1	-999	-999	-999
68487	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	1	-999	1	-999	-999	-999
68510	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68522	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68536	-999	-999	-999	-999	-999	2	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68542	-999	-999	-999	-999	-999	1	1	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68563	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68569	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68889	-999	-999	0	-999	-999	2	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
68891	-999	-999	-999	2	0	2	0	2	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	2	-999	1	-999	1	-999	0	-999
68905	-999	-999	0	2	-999	2	-999	2	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	1	-999	1	-999	1	-999	-999	2
73500	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	1	-999	1	-999	-999	-999
73518	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	1	-999	-999	2
73639	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	1	-999	1	-999	-999	-999
143487	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
157443	-999	-999	0	-999	-999	2	0	2	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	1	1	-999	-999	-999	-999	0	2	2	-999	1	-999	1	-999	0	2
174060	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999
188391	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
197984	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	1	-999	1	-999	-999	-999
198605	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
389106	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	1	-999	1	-999	-999	-999
1226085	-999	-999	-999	-999	-999	2	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1362276	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1363324	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
