key_ouput	H3F3A_2	CCNB1_0	CCNB1_2	H3F3A_0	LMNA_0	LMNA_2	MAPK1_0	MAPK1_2	NUMA1_0	NUMA1_2	NUP214_0	NUP214_2	PLK1_0	PLK1_2	PPP2R1A_0	PPP2R1A_2	RANBP2_0	RANBP2_2	RB1_0	RB1_2	SET_0	SET_2	TPR_0	TPR_2
2990888	-999	0	2	2	-999	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	1	-999
2245227	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2294602	-999	-999	2	2	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	0	-999	2	-999	-999	-999
2311342	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2314561	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2990901	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2990905	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5244666	-999	-999	2	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
8982281	-999	-999	2	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2314571	-999	2	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2430554	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999
