key_ouput	THEM4_0	THEM4_2	ERBB2_0	ERBB2_2	AKT2_0	AKT2_2	BTC_0	BTC_2	EGFR_0	EGFR_2	ERBB3_0	ERBB3_2	FGFR1_0	FGFR1_2	KIT_0	KIT_2	PDGFRB_0	PDGFRB_2	PDPK1_0	PDPK1_2	PIK3CA_0	PIK3CA_2	PIK3CB_0	PIK3CB_2	PTEN_0	PTEN_2	TP53_0	TP53_2	VAV1_0	VAV1_2	AKT1_0	AKT1_2
111910	-999	-999	0	2	1	1	-999	-999	0	-999	0	2	-999	-999	0	-999	-999	-999	-999	-999	0	2	-999	-999	2	0	-999	-999	-999	-999	0	2
198615	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2
198636	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2
199844	-999	-999	0	-999	-999	-999	-999	2	0	2	-999	-999	-999	-999	0	2	0	2	0	-999	0	2	-999	-999	2	0	-999	-999	-999	-999	0	2
199846	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2
198638	-999	-999	0	2	0	-999	-999	-999	-999	-999	0	2	0	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	0	-999	-999	-999	-999	0	2
198335	-999	-999	0	-999	0	2	-999	-999	0	-999	-999	-999	-999	2	0	2	0	-999	0	-999	0	-999	-999	-999	2	0	-999	-999	-999	-999	0	2
198605	-999	-999	0	2	1	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2	0	-999	-999	-999	-999	-999	-999	-999	0	2
9614997	-999	2	0	2	0	2	-999	2	0	2	0	2	-999	2	0	2	-999	-999	0	2	0	2	-999	-999	2	0	-999	-999	0	-999	0	2
199484	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	0	2	-999	-999	2	0	-999	-999	-999	-999	0	2
200163	-999	-999	0	-999	0	2	-999	-999	0	-999	0	2	-999	-999	-999	-999	0	-999	0	-999	0	-999	-999	-999	2	-999	-999	-999	-999	-999	0	2
202072	0	2	0	2	0	2	-999	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	2	0	2	0	1	2	0	2
202074	0	2	0	2	0	2	-999	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	2	0	2	0	1	2	0	2
198373	0	2	0	2	0	2	-999	2	0	2	0	2	-999	-999	0	2	0	2	0	-999	0	2	-999	-999	2	0	-999	-999	1	-999	0	2
