key_ouput	WNT5A_2	TCF7L2_2	AMER1_0	AMER1_2	APC_0	APC_2	CTNNB1_0	CTNNB1_2	TCF7L2_0	WIF1_0	WIF1_2	WNT1_0	WNT1_2	WNT5A_0
3451168	-999	-999	2	-999	2	0	0	2	-999	2	-999	0	2	0
3322396	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
74016	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0
206014	2	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999
448839	-999	-999	-999	-999	2	0	0	2	-999	2	0	0	2	-999
2130284	-999	-999	-999	2	0	2	-999	-999	-999	-999	-999	-999	-999	-999
3247835	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999
3322385	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999	-999	-999	-999
3322393	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3361369	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3364034	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3451129	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3451134	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999
3769337	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	2	-999	-999	-999
3769387	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3772415	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999
3781975	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3858469	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3858474	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
3965386	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4086392	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4411380	-999	-999	-999	-999	1	-999	0	2	-999	-999	-999	-999	-999	-999
4411387	-999	2	-999	-999	-999	-999	-999	2	-999	-999	0	-999	-999	-999
4411391	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999
4411401	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4420052	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4551463	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4551546	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4551548	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4608811	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4608820	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5138458	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5140748	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5323537	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999
5626915	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5665607	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
4411358	0	2	2	-999	2	0	0	2	-999	-999	0	-999	2	-999
