gene	EP300_0	EP300_2	CREBBP_0	CREBBP_2	IKBKB_0	IKBKB_2	CYLD_0	CYLD_2	MAP3K1_0	MAP3K1_2	MYD88_0	MYD88_2	CASP8_0	CASP8_2	NFKB2_0	NFKB2_2	TNFAIP3_0	TNFAIP3_2	IFNA1_0	IFNA1_2	IFNB1_0	IFNB1_2	control
EP300	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBBP	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IKBKB	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CYLD	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAP3K1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
MYD88	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
CASP8	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
NFKB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
TNFAIP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
IFNA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
IFNB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
