gene	PARP1_0	PARP1_2	RBBP8_0	RBBP8_2	RAD50_0	RAD50_2	PARP2_0	PARP2_2	POLQ_0	POLQ_2	NBN_0	NBN_2	FEN1_0	FEN1_2	MRE11_0	MRE11_2	XRCC1_0	XRCC1_2	LIG3_0	LIG3_2	control
PARP1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RBBP8	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RAD50	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PARP2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
POLQ	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
NBN	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
FEN1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
MRE11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
XRCC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
LIG3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
