gene	IFNG_0	IFNG_2	STAT1_0	STAT1_2	JAK1_0	JAK1_2	PTPN11_0	PTPN11_2	SOCS1_0	SOCS1_2	IRF4_0	IRF4_2	HLA-A_0	HLA-A_2	PML_0	PML_2	B2M_0	B2M_2	CIITA_0	CIITA_2	control
IFNG	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STAT1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JAK1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PTPN11	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
SOCS1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
IRF4	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
HLA-A	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
PML	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
B2M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
CIITA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
