gene	IL2_0	IL2_2	IL21R_0	IL21R_2	JAK1_0	JAK1_2	JAK2_0	JAK2_2	JAK3_0	JAK3_2	LCK_0	LCK_2	PIK3CA_0	PIK3CA_2	STAT3_0	STAT3_2	STAT5B_0	STAT5B_2	SYK_0	SYK_2	control
IL2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL21R	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JAK1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JAK2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
JAK3	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
LCK	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
PIK3CA	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
STAT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
STAT5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
SYK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
