gene	DCC_0	DCC_2	EZR_0	EZR_2	PLCG1_0	PLCG1_2	PTPN11_0	PTPN11_2	RAC1_0	RAC1_2	SRC_0	SRC_2	DSCAML1_0	DSCAML1_2	ROBO1_0	ROBO1_2	SLIT2_0	SLIT2_2	DSCAM_0	DSCAM_2	control
DCC	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EZR	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PLCG1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PTPN11	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
RAC1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
SRC	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
DSCAML1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
ROBO1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
SLIT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
DSCAM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
