gene	RHOA_0	RHOA_2	RHOB_0	RHOB_2	RHOC_0	RHOC_2	ROCK1_0	ROCK1_2	ROCK2_0	ROCK2_2	PPP1R12A_0	PPP1R12A_2	PPP1CB_0	PPP1CB_2	MYL12B_0	MYL12B_2	MYL9_0	MYL9_2	LIMK1_0	LIMK1_2	LIMK2_0	LIMK2_2	control
RHOA	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RHOB	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RHOC	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ROCK1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ROCK2	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
PPP1R12A	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
PPP1CB	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
MYL12B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
MYL9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
LIMK1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
LIMK2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
