gene	ACVR2A_0	ACVR2A_2	ACVR2B_0	ACVR2B_2	ACVR1B_0	ACVR1B_2	INHBA_0	INHBA_2	INHBB_0	INHBB_2	ACVR1C_0	ACVR1C_2	FOXH1_0	FOXH1_2	SMAD4_0	SMAD4_2	FST_0	FST_2	SMAD3_0	SMAD3_2	SMAD2_0	SMAD2_2	FSTL3_0	FSTL3_2	DRAP1_0	DRAP1_2	control
ACVR2A	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR2B	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1B	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
INHBA	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
INHBB	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1C	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXH1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
SMAD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
FST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
SMAD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
SMAD2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
FSTL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
DRAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
