gene	ERBB2_2	ERBB2_0	EGFR_2	EGFR_0	BTC_2	BTC_0	AKT1_2	AKT1_0	ERBB3_2	ERBB3_0	PIK3CA_2	PIK3CA_0	PTK6_2	PTK6_0	PTPN12_2	PTPN12_0	MEMO1_2	MEMO1_0	control	KRAS_2	KRAS_0
AKT1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
BTC	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGFR	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERBB2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERBB3	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1
KRAS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0
MEMO1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1
PIK3CA	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1
PTK6	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1
PTPN12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1
