gene	COL2A1_0	COL2A1_2	NRAS_0	NRAS_2	PDGFB_0	PDGFB_2	PDGFRA_0	PDGFRA_2	PDGFRB_0	PDGFRB_2	PIK3CA_0	PIK3CA_2	PLCG1_0	PLCG1_2	PTPN11_0	PTPN11_2	SRC_0	SRC_2	STAT3_0	STAT3_2	PTPN12_0	PTPN12_2	control
COL2A1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NRAS	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PDGFB	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PDGFRA	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PDGFRB	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1
PIK3CA	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
PLCG1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
PTPN11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
SRC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1
STAT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
PTPN12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1
